Course,Discipline,,CGPA,Company [on-campus/ off-campus/PPO],,,Profile,,CTC Offered,,Type of Offer,
B.Tech,Petroleum Engineering,,7.96,Meesho,,,,,37,,On-Campus,
B.Tech,Petroleum Engineering,,6.63,ONGC,,,AEE (Production),,25,,On-Campus,
B.Tech,Petroleum Engineering,,7.18,ONGC,,,AEE (Drilling),,25,,On-Campus,
B.Tech,Petroleum Engineering,,7.25,ONGC,,,AEE (Production),,25,,On-Campus,
B.Tech,Petroleum Engineering,,7.36,ONGC,,,AEE (Production),,25,,On-Campus,
B.Tech,Petroleum Engineering,,7.4,ONGC,,,AEE (Production),,25,,On-Campus,
B.Tech,Petroleum Engineering,,7.59,ONGC,,,AEE (Production),,25,,On-Campus,
B.Tech,Petroleum Engineering,,7.7,ONGC,,,AEE (Drilling),,25,,On-Campus,
B.Tech,Petroleum Engineering,,7.74,ONGC,,,AEE (Drilling),,25,,On-Campus,
B.Tech,Petroleum Engineering,,7.79,ONGC,,,AEE (Reservior),,25,,On-Campus,
B.Tech,Petroleum Engineering,,7.98,ONGC,,,AEE (Production),,25,,On-Campus,
B.Tech,Petroleum Engineering,,8.03,ONGC,,,AEE (Drilling),,25,,On-Campus,
B.Tech,Petroleum Engineering,,8.06,ONGC,,,AEE (Production),,25,,On-Campus,
B.Tech,Petroleum Engineering,,8.09,ONGC,,,AEE (Production),,25,,On-Campus,
B.Tech,Petroleum Engineering,,8.33,ONGC,,,AEE (Drilling),,25,,On-Campus,
B.Tech,Petroleum Engineering,,8.35,ONGC,,,AEE (Drilling),,25,,On-Campus,
B.Tech,Petroleum Engineering,,8.5,ONGC,,,AEE (Production),,25,,On-Campus,
B.Tech,Petroleum Engineering,,8.51,ONGC,,,AEE (Reservior),,25,,On-Campus,
B.Tech,Petroleum Engineering,,7.8,Toppr,,,,,21,,On-Campus,
B.Tech,Petroleum Engineering,,7.25,Cairn Oil &Gas,,,,,20.2,,On-Campus,
B.Tech,Petroleum Engineering,,7.27,Cairn Oil &Gas,,,,,20.2,,On-Campus,
B.Tech,Petroleum Engineering,,7.32,Cairn Oil &Gas,,,,,20.2,,On-Campus,
B.Tech,Petroleum Engineering,,7.78,Cairn Oil &Gas,,,,,20.2,,On-Campus,
B.Tech,Petroleum Engineering,,7.87,Cairn Oil &Gas,,,,,20.2,,On-Campus,
B.Tech,Petroleum Engineering,,8.47,Cairn Oil &Gas,,,,,20.2,,On-Campus,
B.Tech,Petroleum Engineering,,8.59,Cairn Oil &Gas,,,,,20.2,,On-Campus,
B.Tech,Petroleum Engineering,,8.69,Cairn Oil &Gas,,,,,20.2,,On-Campus,
B.Tech,Petroleum Engineering,,8.11,Unacademy,,,,,20,,On-Campus,
B.Tech,Petroleum Engineering,,7.94,ICICI Bank,,,,,16,,On-Campus,
B.Tech,Petroleum Engineering,,7.99,Cairn Oil &Gas,,,Graduate Engineer Trainee,,14.95,,PPO,
B.Tech,Petroleum Engineering,,8.12,Cairn Oil &Gas,,,Graduate Engineer Trainee,,14.95,,PPO,
B.Tech,Petroleum Engineering,,8.53,Cairn Oil &Gas,,,Graduate Engineer Trainee,,14.95,,PPO,
B.Tech,Petroleum Engineering,,8.64,Cairn Oil &Gas,,,Graduate Engineer Trainee,,14.95,,PPO,
B.Tech,Petroleum Engineering,,8.8,Cairn Oil &Gas,,,Graduate Engineer Trainee,,14.95,,PPO,
B.Tech,Petroleum Engineering,,9.14,Cairn Oil &Gas,,,Graduate Engineer Trainee,,14.95,,PPO,
B.Tech,Petroleum Engineering,,9.32,Cairn Oil &Gas,,,Graduate Engineer Trainee,,14.95,,PPO,
B.Tech,Petroleum Engineering,,7.93,Adobe,,,Member of Technical Staff,,14.85,,PPO,
B.Tech,Petroleum Engineering,,6.95,Innovaccer,,,,,14,,On-Campus,
B.Tech,Petroleum Engineering,,7.9,Simpl Technology,,,,,13,,On-Campus,
B.Tech,Petroleum Engineering,,6.09,Axxela Advisory,,,,,11.5,,On-Campus,
B.Tech,Petroleum Engineering,,7.76,Axxela Advisory,,,,,11.5,,On-Campus,
B.Tech,Petroleum Engineering,,7.89,ExxonMobil,,,,,11.41,,On-Campus,
B.Tech,Petroleum Engineering,,8.09,ExxonMobil,,,,,11.41,,On-Campus,
B.Tech,Petroleum Engineering,,8.15,ExxonMobil,,,,,11.41,,PPO,
B.Tech,Petroleum Engineering,,8.2,ExxonMobil,,,,,11.41,,PPO,
B.Tech,Petroleum Engineering,,8.38,Jubilant Pharmova Ltd,,,GET,,11,,On-Campus,
B.Tech,Petroleum Engineering,,7.27,Tiger analytics,,,,,10,,On-Campus,
B.Tech,Petroleum Engineering,,8.31,Merilytics,,,Senior Business Analyst,,9.5,,On-Campus,
B.Tech,Petroleum Engineering,,7.22,Reliance Industries (E&P),,,GET,,9,,On-Campus,
B.Tech,Petroleum Engineering,,7.5,Reliance Industries (E&P),,,GET,,9,,On-Campus,
B.Tech,Petroleum Engineering,,7.56,Reliance Industries (E&P),,,GET,,9,,On-Campus,
B.Tech,Petroleum Engineering,,7.3,DarwinBox,,,Business Analyst,,8.45,,On-Campus,
B.Tech,Petroleum Engineering,,6.82,Essar enp,,,,,8,,On-Campus,
B.Tech,Petroleum Engineering,,7.71,Essar enp,,,,,8,,On-Campus,
B.Tech,Petroleum Engineering,,7.71,Essar enp,,,,,8,,On-Campus,
B.Tech,Petroleum Engineering,,6.78,Cubation Consulting,,,,,7.66,,On-Campus,
B.Tech,Petroleum Engineering,,6.85,Cubation Consulting,,,,,7.66,,On-Campus,
B.Tech,Petroleum Engineering,,7.15,Cubation Consulting,,,,,7.66,,On-Campus,
